Series Name,Series Code,Country Name,Country Code,2020 [YR2020],2019 [YR2019],2018 [YR2018],2017 [YR2017],2016 [YR2016],2015 [YR2015],2014 [YR2014],2013 [YR2013],2012 [YR2012],2011 [YR2011],2010 [YR2010],2009 [YR2009],2008 [YR2008],2007 [YR2007],2006 [YR2006],2005 [YR2005],2004 [YR2004],2003 [YR2003],2002 [YR2002],2001 [YR2001],2000 [YR2000],1999 [YR1999],1998 [YR1998],1997 [YR1997],1996 [YR1996],1995 [YR1995],1994 [YR1994],1993 [YR1993],1992 [YR1992],1991 [YR1991],1990 [YR1990],1989 [YR1989],1988 [YR1988],1987 [YR1987],1986 [YR1986],1985 [YR1985],1984 [YR1984],1983 [YR1983],1982 [YR1982],1981 [YR1981],1980 [YR1980],1979 [YR1979],1978 [YR1978],1977 [YR1977],1976 [YR1976],1975 [YR1975],1974 [YR1974],1973 [YR1973],1972 [YR1972],1971 [YR1971],1970 [YR1970],1969 [YR1969],1968 [YR1968],1967 [YR1967],1966 [YR1966],1965 [YR1965],1964 [YR1964],1963 [YR1963],1962 [YR1962],1961 [YR1961],1960 [YR1960]
A woman can work at night in the same way as a man (1=yes; 0=no),SG.NGT.WORK.EQ,Germany,DEU,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,..,..,..,..,..,..,..,..,..,..
A woman can work in a job deemed dangerous in the same way as a man (1=yes; 0=no),SG.DNG.WORK.DN.EQ,Germany,DEU,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,..,..,..,..,..,..,..,..,..,..
A woman can work in an industrial job in the same way as a man (1=yes; 0=no),SG.IND.WORK.EQ,Germany,DEU,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..
A woman has the same rights to remarry as a man (1=yes; 0=no),SG.REM.RIGT.EQ,Germany,DEU,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,..,..,..,..,..,..,..,..,..,..
"Access to anti-retroviral drugs, female (%)",SH.HIV.ARTC.FE.ZS,Germany,DEU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Access to anti-retroviral drugs, male (%)",SH.HIV.ARTC.MA.ZS,Germany,DEU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,Germany,DEU,..,..,..,99.1411895751953,..,..,98.7604064941406,..,..,98.1336212158203,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",FX.OWN.TOTL.FE.ZS,Germany,DEU,..,..,..,99.1992492675781,..,..,99.4418029785156,..,..,98.7045364379883,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",FX.OWN.TOTL.MA.ZS,Germany,DEU,..,..,..,99.0789260864258,..,..,98.0492477416992,..,..,97.5362243652344,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,Germany,DEU,..,..,..,90.35417,90.62417,89.44014,88.13653,88.18981,88.52846,88.75173,89.06942,88.17263,88.43606,88.84199,88.43977,87.06885,86.23536,84.99832,84.71067,82.93565,86.46473,86.86843,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,Germany,DEU,..,..,..,..,91.54246,90.32462,88.93744,88.92548,89.21926,89.28999,89.64072,88.82046,89.04671,89.54017,89.14933,87.84302,86.98664,85.71943,85.37444,..,87.11377,87.53235,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,Germany,DEU,..,..,..,..,89.75716,88.60416,87.37846,87.49238,87.87234,88.23933,88.5254,87.55561,87.85435,88.1768,87.76365,86.33139,85.5198,84.31152,84.07851,..,85.84641,86.23573,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Germany,DEU,..,7.6186,7.8568,8.095,8.0886,8.0822,8.0758,8.0694,8.063,8.4046,8.7462,9.0878,9.4294,9.771,10.2908,10.8106,11.3304,11.8502,12.37,12.5188,12.6676,12.8164,12.9652,13.114,13.6728,14.2316,14.7904,15.3492,15.908,16.119,16.33,16.541,16.752,16.963,18.0622,19.1614,20.2606,21.3598,22.459,23.8918,25.3246,26.7574,28.1902,29.623,32.1544,34.6858,37.2172,39.7486,42.28,43.654,45.028,46.402,47.776,49.15,47.8006,46.4512,45.1018,43.7524,42.403,40.1368,37.8706
"Age at first marriage, female",SP.DYN.SMAM.FE,Germany,DEU,..,..,31.7,..,31.5,31.4,31.2,32,31.9,27.3,..,..,..,..,31,..,30.5,..,..,30.1,..,..,..,..,..,..,27.5,27.2,26.8,26.5,26.1,..,..,26,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Age at first marriage, male",SP.DYN.SMAM.MA,Germany,DEU,..,..,33.9,..,33.7999999999999,33.7,33.6,34.2,34.2,29.8,..,..,..,..,33.6,..,33.2999999999999,..,..,32.6,..,..,..,..,..,..,30.3,30,29.6,29.3,28.9,..,..,29,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Germany,DEU,..,54.7089085937167,54.0428361206484,53.4264177539329,52.9145728699203,52.5216312802673,52.2446834584225,52.1320952080022,52.0953973406867,52.0097511222545,51.7937457997838,51.5319812559294,51.2010395606892,50.8030262315896,50.364740559451,49.8912304037017,49.4440472933971,48.9446014211877,48.4284355776905,47.9159592304807,47.4073731274062,47.1448077339225,46.9541252104847,46.8006005107068,46.6495472831502,46.4859376600659,46.2765749550456,45.992987489301,45.6319727581506,45.1753702390431,44.6240459851607,44.2433983711184,43.7995483591986,43.4521534514275,43.4478406865259,43.8959804027749,44.9730185688695,46.6461312517946,48.6791376396082,50.5922132932778,52.0288619684097,53.7476707507377,55.0016593464874,55.8634903781386,56.6249996751014,57.5111421033865,58.1268826361227,58.611678881896,58.9080305467269,58.9116503377394,58.5526612698774,58.2025376838729,57.6596230397265,56.9306189056609,55.9710694799009,54.7503268931455,53.7052067849,52.4892164198806,51.200821036784,50.0267257785862,49.0841482946963
"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,Germany,DEU,..,405170,394126,378414,362491,349634,340899,335393,332324,330246,328182,324477,320872,318744,319975,325673,337869,354509,372042,385736,392436,389684,379582,366155,355184,350728,356696,369341,385438,400292,410631,413889,412376,408772,407028,409850,418152,431485,444663,450610,444854,422904,389224,353331,328406,323572,343800,383794,436223,490259,537712,577652,610890,635552,650334,654805,645789,625124,598829,575102,559774
"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,Germany,DEU,..,426005,414214,397620,380909,367553,358376,352765,349836,347977,346059,342115,338212,335833,337021,342995,355867,373509,392144,406748,413970,411182,400639,386556,374984,370165,376307,389427,406117,421398,431793,435183,433435,429495,427700,431039,439536,453645,467798,474383,468555,445302,409534,371411,344984,339959,361794,404769,460849,518224,568002,609216,642677,666795,680746,684467,675852,655652,629950,606917,592331
"Age population, age 01, female, interpolated",SP.POP.AG01.FE.IN,Germany,DEU,..,395772,384212,369331,355589,343028,335086,330221,327963,329052,327705,327727,328852,331254,328774,340602,348857,358506,368240,389283,382035,383567,382116,379396,358578,378853,385834,395647,406434,417181,421408,422046,419357,414616,412611,406168,403659,402926,402775,432225,398414,390847,381132,373587,333801,385652,412559,450796,494983,542262,573024,600291,619790,631632,650508,636733,629269,615566,598477,564711,567832
"Age population, age 01, male, interpolated",SP.POP.AG01.MA.IN,Germany,DEU,..,416418,404202,388515,374334,360970,352533,347457,345220,346993,345268,345180,346227,348619,346107,358365,367110,377422,387869,410257,402710,404350,402792,399855,378139,399074,406405,416755,428094,438780,443293,443917,440827,435535,433664,426796,423871,423174,423318,454580,419360,411370,401002,392874,350695,405307,433764,474278,521066,572169,603260,631759,651813,663639,680896,667841,660662,647072,630067,596746,599915
"Age population, age 02, female, interpolated",SP.POP.AG02.FE.IN,Germany,DEU,..,387479,375849,361562,349405,338392,331396,327323,330254,329032,328848,331644,336193,331527,341866,352964,358468,363200,386570,382052,376868,381710,386739,365651,382892,401768,408894,415836,424114,427085,427708,425816,421788,415626,408663,401305,391983,382474,420184,394429,369980,374290,383253,343375,388036,439858,470669,506025,546839,575858,599610,616391,624963,646724,636055,620629,613892,604965,569085,569073,569512
"Age population, age 02, male, interpolated",SP.POP.AG02.MA.IN,Germany,DEU,..,408148,395923,381221,368308,356456,348909,344531,348296,346813,346224,348998,353632,348851,359585,371097,376958,382107,407018,402375,396982,402042,407216,385280,403127,422630,430206,437691,445958,449299,449985,447935,443355,436856,429176,421325,411196,401259,441257,414523,389119,393724,403150,360691,407763,462320,494608,531668,576387,605978,629900,647819,657133,677495,667626,652628,646046,636931,601040,600596,600891
"Age population, age 03, female, interpolated",SP.POP.AG03.FE.IN,Germany,DEU,..,380293,367371,355800,344950,335582,329646,331707,330690,330557,331421,336147,334137,342768,353035,363092,366884,384022,382500,378826,376238,383496,372258,386089,403376,419907,426444,431118,433154,432801,430188,425935,418859,411409,403533,395863,383221,408551,390962,371375,357424,371269,352600,389640,437437,486585,518859,551307,578719,601290,618301,626585,643146,635877,622260,606272,599573,573158,569743,568500,565794
"Age population, age 03, male, interpolated",SP.POP.AG03.MA.IN,Germany,DEU,..,401181,387932,375751,364118,353861,347315,349941,348725,348291,348719,353480,351450,360423,371094,381533,385595,403961,402502,398728,396045,403606,391932,406280,424189,441274,448296,453060,455498,455340,452571,448024,440417,432119,423451,415268,401620,428474,410254,389988,375607,390316,370289,409337,459719,511425,545088,580512,608749,631648,648722,658008,674028,667580,654563,638677,631989,605271,601156,599289,596280
"Age population, age 04, female, interpolated",SP.POP.AG04.FE.IN,Germany,DEU,..,372809,362036,351527,342126,334456,333282,332600,332597,333444,335229,336922,343524,352732,362509,371319,381230,383116,381210,379112,379444,378875,388800,404092,420240,433705,437717,439294,438290,434940,429505,422407,414372,406010,397833,390444,397061,387873,373247,361486,358621,361898,390859,434128,481894,526226,555450,581464,602997,619300,629924,639389,635904,624380,609113,593440,577372,570114,566916,563733,557659
"Age population, age 04, male, interpolated",SP.POP.AG04.MA.IN,Germany,DEU,..,394167,383021,371886,361659,353034,351825,350979,350725,351231,352546,354256,361113,370696,380865,390014,400653,402815,400933,398795,399162,398604,408922,424796,441534,455450,459688,461618,460889,457554,451756,444245,435427,426133,417141,409265,416045,406481,391374,379328,376601,379958,410471,456113,506461,553050,584287,611419,633451,649906,660526,670244,667472,656664,641745,625833,609589,601652,597565,593610,587101
"Age population, age 05, female, interpolated",SP.POP.AG05.FE.IN,Germany,DEU,..,367905,357946,348688,340834,334868,334632,334889,335801,337511,340080,344463,352280,361541,370515,377979,383492,383765,382414,382419,385788,391530,404301,419640,433692,443596,445020,443851,440091,434116,426315,417647,408700,400050,392176,385649,384931,375480,366007,363185,371444,392175,430394,476222,521298,559177,583865,604580,620326,630631,635311,635756,626702,612432,596602,581913,570630,565036,561104,555513,546087
"Age population, age 05, male, interpolated",SP.POP.AG05.MA.IN,Germany,DEU,..,389822,379483,369563,360823,353825,353474,353504,354113,355439,357498,362018,370148,379792,389131,396883,402881,403324,402003,402053,405593,411594,424871,440798,455367,465599,467253,466358,462732,456594,448243,438998,429174,419562,410898,403957,403054,393228,383542,380896,389879,411702,452022,500385,547885,587619,613721,635148,651146,661476,666110,667049,658707,644977,629209,613944,602236,595779,590820,584346,574378
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Germany,DEU,..,9.4,9.5,9.5,9.6,9,8.8,8.5,8.4,8.3,8.3,8.1,8.3,8.3,8.2,8.3,8.6,8.6,8.7,8.9,9.3,9.4,9.6,9.9,9.7,9.4,9.5,9.8,10,10.4,11.4,11.2,11.4,11.2,10.9,10.5,10.4,10.6,11,11,11.1,10.5,10.4,10.3,10.2,9.9,10.2,10.3,11.5,12.9,13.4,14.7,15.7,16.5,17.2,17.4,18,18.1,17.8,17.9,17.3
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Germany,DEU,..,..,..,98.8,97.8,98.8,98.6,98.5,98.5,98.4,98.4,98.3,98.5,98.4,98.4,98.2,98.2,98.6,98.6,98.6,98.6,98.7,..,..,..,..,..,..,..,..,..,..,..,..,100,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Borrowed any money in the past year (% age 15+),fin23.t.d,Germany,DEU,..,..,..,64.0730438232422,..,..,55.1508827209473,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Borrowed any money in the past year, female (% age 15+)",fin23.t.d.2,Germany,DEU,..,..,..,59.6404914855957,..,..,49.3854026794434,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Borrowed any money in the past year, male  (% age 15+)",fin23.t.d.1,Germany,DEU,..,..,..,68.8256759643555,..,..,61.1682052612305,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Borrowed for education or school fees (% age 15+),fin22a.14.a,Germany,DEU,..,..,..,..,..,..,2.16908383369446,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Borrowed for education or school fees, female  (% age 15+)",fin22a.14.a.2,Germany,DEU,..,..,..,..,..,..,1.73299121856689,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Borrowed for education or school fees, male  (% age 15+)",fin22a.14.a.1,Germany,DEU,..,..,..,..,..,..,2.62422513961792,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Borrowed for health or medical purposes (% age 15+),fin20b.t.a,Germany,DEU,..,..,..,4.72106790542603,..,..,2.24355053901672,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Borrowed for health or medical purposes, female  (% age 15+)",fin20b.t.a.2,Germany,DEU,..,..,..,4.39959001541138,..,..,1.74079835414886,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Borrowed for health or medical purposes, male  (% age 15+)",fin20b.t.a.1,Germany,DEU,..,..,..,5.06576061248779,..,..,2.76826333999634,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Borrowed from a financial institution (% age 15+),fin22a.t.a,Germany,DEU,..,..,..,19.5805854797363,..,..,18.6115894317627,..,..,12.549111366272,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Borrowed from a financial institution or used a credit card (% age 15+),fin22a.t.d,Germany,DEU,..,..,..,54.6274948120117,..,..,45.775520324707,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Borrowed from a financial institution or used a credit card, female (% age 15+)",fin22a.t.d.2,Germany,DEU,..,..,..,50.2930755615234,..,..,39.5636940002441,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Borrowed from a financial institution or used a credit card, male (% age 15+)",fin22a.t.d.1,Germany,DEU,..,..,..,59.2749061584473,..,..,52.2586822509766,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Borrowed from a financial institution, female (% age 15+)",fin22a.t.a.2,Germany,DEU,..,..,..,19.0183238983154,..,..,15.77663230896,..,..,10.9247398376465,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Borrowed from a financial institution, male (% age 15+)",fin22a.t.a.1,Germany,DEU,..,..,..,20.1834506988525,..,..,21.5703792572021,..,..,14.2488164901733,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Borrowed from a savings club (% age 15+),fin22c.a,Germany,DEU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Borrowed from a savings club, female (% age 15+)",fin22c.a.2,Germany,DEU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Borrowed from a savings club, male  (% age 15+)",fin22c.a.1,Germany,DEU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Borrowed from a store by buying on credit (% age 15+),fin21b.t.14.a,Germany,DEU,..,..,..,..,..,..,9.17588329315186,..,..,11.5487623214722,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Borrowed from a store by buying on credit, female (% age 15+)",fin21b.t.14.a.2,Germany,DEU,..,..,..,..,..,..,8.77003002166748,..,..,9.19139957427979,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Borrowed from a store by buying on credit, male (% age 15+)",fin21b.t.14.a.1,Germany,DEU,..,..,..,..,..,..,9.59946346282959,..,..,14.0154523849487,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Borrowed from family or friends (% age 15+),fin22b.t.a,Germany,DEU,..,..,..,8.44138050079346,..,..,9.81833744049072,..,..,8.56663799285889,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Borrowed from family or friends, female (% age 15+)",fin22b.t.a.2,Germany,DEU,..,..,..,7.2446346282959,..,..,7.40733051300049,..,..,7.72041988372803,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Borrowed from family or friends, male  (% age 15+)",fin22b.t.a.1,Germany,DEU,..,..,..,9.72454357147217,..,..,12.334659576416,..,..,9.4521017074585,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Borrowed to start, operate, or expand a farm or business (% age 15+)",fin21.t.a,Germany,DEU,..,..,..,2.88561415672302,..,..,3.60455703735352,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
