"A","B","C","HDI Rank","name_long","GII_Value","GII_Rank","Maternal_mortality ratio_(deaths_per_100k_livebirths)","Adolescent_birth rate_(births_per_1k_women_age_15-19)","Share of seats in parliament_(%_held_by_women)","f_with_at_least_some_secondary_education_in%","m_with_at_least_some_secondary_education_in%","f_Labour force participation rate_in%","m_Labour force participation rate_in%"
35,,,35,"Poland",0.115,28,2.0,10.538,27.85714286,83.14769421,88.50989554,48.629,65.459
36,,,36,"Andorra",,,,,46.42857143,71.48419414,73.32658,,
37,,,37,"Latvia",0.176,41,19.0,16.171,30.0,100.0,100.0,55.721,68.383
38,,,38,"Portugal",0.075,17,8.0,8.38,38.69565217,53.86539,54.81408,54.195,64.082
39,,,39,"Slovakia",0.191,45,5.0,25.684,20.0,99.20638,100.0,52.182,67.442
40,,,40,"Hungary",0.233,51,12.0,23.979,12.56281407,96.40590548,98.44703744,48.469,65.503
41,,,40,"Saudi Arabia",0.252,56,17.0,7.324,19.86754967,64.78652,72.38120855,22.115,78.372
42,,,42,"Bahrain",0.212,49,14.0,13.368,18.75,68.06703,74.3448,44.96,87.174
43,,,43,"Chile",0.247,55,13.0,41.052,22.72727273,77.77333,81.11983,51.798,73.975
44,,,43,"Croatia",0.116,29,8.0,8.681,20.52980132,94.62314444,97.42037796,45.446,57.49
45,,,45,"Qatar",0.185,43,9.0,9.922,9.756097561,76.09473255,66.24035425,56.811,94.73
46,,,46,"Argentina",0.328,75,39.0,62.782,39.87730061,59.16116,54.82788,50.721,72.73
47,,,47,"Brunei Darussalam",0.255,60,31.0,10.272,9.090909091,69.52,70.68244654,57.787,71.028
48,,,48,"Montenegro",0.109,26,6.0,9.313,28.39506173,87.96299899,98.18601054,46.484,62.778
49,,,49,"Romania",0.276,61,19.0,36.211,19.56989247,88.15230784,93.55600967,45.315,64.736
50,,,50,"Palau",,,,,13.79310345,96.88915,97.33132,,
51,,,51,"Kazakhstan",0.19,44,10.0,29.75,22.07792208,99.29102,99.64934,62.675,75.529
52,,,52,"Russian Federation",0.225,50,17.0,20.699,16.4516129,96.31389491,95.72820449,54.822,70.248
53,,,53,"Belarus",0.118,31,2.0,14.507,34.93975904,87.23838181,92.46538674,57.738,71.759
54,,,54,"Turkey",0.306,68,17.0,26.559,17.44966443,50.15919,72.23768638,34.013,72.586
55,,,55,"Uruguay",0.288,62,17.0,58.727,20.93023256,58.83082,54.57922,55.579,73.324
56,,,56,"Bulgaria",0.206,48,10.0,39.86,25.83333333,94.43896,96.42635,49.239,61.983
57,,,57,"Panama",0.407,94,52.0,81.828,21.12676056,74.83046639,68.56481576,53.428,79.906
58,,,58,"Bahamas",0.341,77,70.0,30.001,21.81818182,88.01810676,90.98156923,68.086,81.581
59,,,58,"Barbados",0.252,56,27.0,33.55,29.41176471,94.58,92.2,61.693,69.079
60,,,60,"Oman",0.306,68,19.0,13.056,9.88372093,73.4094,63.65985,30.986,89.895
61,,,61,"Georgia",0.331,76,25.0,46.408,14.76510067,97.22793,98.55128227,57.423,80.841
62,,,62,"Costa Rica",0.288,62,27.0,53.46,45.61403509,55.41832,53.33728,48.145,76.245
63,,,62,"Malaysia",0.253,59,29.0,13.414,15.51724138,72.19998,76.52552306,50.748,77.102
64,,,64,"Kuwait",0.242,53,12.0,8.194,4.615384615,56.56559,49.08439,49.683,87.512
65,,,64,"Serbia",0.132,35,12.0,14.706,37.65182186,86.30764,93.61761,47.407,62.81
66,,,66,"Mauritius",0.347,78,61.0,25.735,20.0,65.82596337,68.47050719,45.151,71.985
67,,,67,"Seychelles",,,53.0,62.05,21.21212121,,,,
68,,,67,"Trinidad and Tobago",0.323,73,67.0,30.09,32.87671233,74.45364195,71.21323836,50.062,70.239
69,,,69,"Albania",0.181,42,15.0,19.642,29.50819672,93.69974565,92.49715395,46.712,64.568
70,,,70,"Cuba",0.304,67,36.0,51.592,53.2231405,85.78221304,89.09394165,40.7,66.813
71,,,70,"Iran (Islamic Republic of)",0.459,113,16.0,40.635,5.882352941,67.35319,72.83602046,17.541,71.509
72,,,72,"Sri Lanka",0.401,90,36.0,20.926,5.333333333,79.19807,81.01227,35.436,74.592
73,,,73,"Bosnia and Herzegovina",0.149,38,10.0,9.642,21.05263158,73.99215,89.32075,35.387,58.05
74,,,74,"Grenada",,,25.0,29.177,39.28571429,,,,
75,,,74,"Mexico",0.322,71,33.0,60.365,48.40764331,62.22734,64.2385,44.185,78.452
76,,,74,"Saint Kitts and Nevis",,,,,13.33333333,,,,
77,,,74,"Ukraine",0.234,52,19.0,23.711,20.51886792,94.0,95.24,46.732,63.094
78,,,78,"Antigua and Barbuda",,,42.0,42.782,31.42857143,,,,
79,,,79,"Peru",0.395,87,88.0,56.882,30.0,58.94257,69.37365,70.281,85.143
80,,,79,"Thailand",0.359,80,37.0,44.908,14.13333333,43.47807,48.56179,59.2,76.08
81,,,81,"Armenia",0.245,54,26.0,21.49,23.48484848,97.26805434,97.15172,47.074,65.887
82,,,82,"North Macedonia",0.143,37,7.0,15.723,39.16666667,41.82646897,57.68280295,42.986,67.346
83,,,83,"Colombia",0.428,101,83.0,66.651,19.56521739,55.74167,53.01833,57.349,80.902
84,,,84,"Brazil",0.408,95,60.0,59.111,14.98316498,61.55127,58.26034,54.208,74.102
85,,,85,"China",0.168,39,29.0,7.635,24.94117647,76.03371735,83.28977254,60.451,75.274
86,,,86,"Ecuador",0.384,86,59.0,79.261,37.95620438,52.48502,53.26757,55.212,81.066
87,,,86,"Saint Lucia",0.401,90,117.0,40.536,20.68965517,49.22039668,42.0644932,59.537,74.999
88,,,88,"Azerbaijan",0.323,73,26.0,55.838,16.80672269,93.9019,97.50076,63.411,69.737
89,,,88,"Dominican Republic",0.455,112,95.0,94.26,24.32432432,59.65802317,56.14466192,51.43,77.435
90,,,90,"Moldova (Republic of)",0.204,46,19.0,22.415,25.74257426,96.58683,98.10793,40.49,45.983
91,,,91,"Algeria",0.429,103,112.0,10.071,21.54882155,39.08,38.9,14.591,67.404
92,,,92,"Lebanon",0.411,96,29.0,14.5,4.6875,54.31374759,55.56182719,22.874,71.41
93,,,93,"Fiji",0.37,84,34.0,49.353,19.60784314,79.38022,78.18903504,38.475,76.471
94,,,94,"Dominica",,,,,25.0,,,,
95,,,95,"Maldives",0.369,82,53.0,7.81,4.597701149,45.41076032,49.56869299,41.634,84.227
96,,,95,"Tunisia",0.296,65,43.0,7.841,22.58064516,42.43799338,54.564,23.777,69.433
97,,,97,"Saint Vincent and the Grenadines",,,68.0,49.02,13.04347826,,,54.361,77.01
98,,,97,"Suriname",0.436,105,120.0,61.655,31.37254902,61.52695926,60.08498798,38.753,63.668
99,,,99,"Mongolia",0.322,71,45.0,30.993,17.33333333,91.49138376,86.13348867,53.304,66.384
100,,,100,"Botswana",0.465,116,144.0,46.061,10.76923077,89.64,90.88785182,65.375,76.898
101,,,101,"Jamaica",0.396,88,80.0,52.757,19.04761905,70.04393986,62.36603341,59.782,72.468
102,,,102,"Jordan",0.45,109,46.0,25.877,15.38461538,82.15009517,86.05994058,14.386,63.742
103,,,103,"Paraguay",0.446,107,84.0,70.504,16.8,49.2486,51.15980178,59.22,84.606
104,,,104,"Tonga",0.354,79,52.0,14.662,7.407407407,94.0,93.4,45.737,74.337
105,,,105,"Libya",0.252,56,72.0,5.769,15.95744681,70.4920975,45.05386134,33.949,65.31
106,,,106,"Uzbekistan",0.288,62,29.0,23.79,16.4,99.85953,99.95679,52.378,78.113
107,,,107,"Bolivia (Plurinational State of)",0.417,98,155.0,64.9,51.80722892,53.09571669,59.48890159,63.177,80.515
108,,,107,"Indonesia",0.48,121,177.0,47.374,17.39130435,46.84225,55.05406,53.08,81.885
109,,,107,"Philippines",0.43,104,121.0,54.154,28.04878049,75.59380536,72.38818412,46.1,73.258
110,,,110,"Belize",0.415,97,36.0,68.487,11.11111111,79.04098049,78.90916961,49.904,80.603
111,,,111,"Samoa",0.36,81,43.0,23.886,10.0,79.1274861,71.58292158,31.104,55.456
112,,,111,"Turkmenistan",,,7.0,24.418,25.0,,,51.407,78.315
113,,,113,"Venezuela (Bolivarian Republic of)",0.479,119,125.0,85.337,22.15568862,71.71238,66.61428,45.44,74.853
114,,,114,"South Africa",0.406,93,119.0,67.908,45.33333333,74.97650898,78.20732748,49.61,62.749
115,,,115,"Palestine, State of",,,27.0,52.766,,63.54091,64.93922,17.693,69.497
116,,,116,"Egypt",0.449,108,37.0,53.819,14.93288591,73.50696,72.53537,21.933,70.858
117,,,117,"Marshall Islands",,,,,6.060606061,91.64424,92.46859,,
118,,,117,"Viet Nam",0.296,65,43.0,30.929,26.72064777,66.43856115,78.16887914,72.708,82.363
119,,,119,"Gabon",0.525,128,252.0,96.227,17.94871795,66.23708064,50.63732373,43.526,61.833
120,,,120,"Kyrgyzstan",0.369,82,60.0,32.763,19.16666667,99.09042481,98.34,44.768,75.735
121,,,121,"Morocco",0.454,111,70.0,31.034,18.44660194,29.08900478,35.95105301,21.469,70.139
122,,,122,"Guyana",0.462,115,169.0,74.382,31.88405797,70.92,56.44,43.943,68.476
123,,,123,"Iraq",0.577,146,79.0,71.733,25.22796353,39.52,56.52,11.619,74.228
124,,,124,"El Salvador",0.383,85,46.0,69.459,30.95238095,39.9476,46.38389461,45.32,75.74
125,,,125,"Tajikistan",0.314,70,17.0,57.076,20.0,93.32986,95.73984,31.284,52.834
126,,,126,"Cabo Verde",0.397,89,58.0,73.759,23.61111111,28.77587928,31.23702564,53.342,67.556
127,,,127,"Guatemala",0.479,119,95.0,70.93,19.375,38.60151499,37.54914304,39.914,86.345
128,,,128,"Nicaragua",0.428,101,98.0,84.99,44.56521739,48.46432692,46.79803681,49.669,84.232
129,,,129,"Bhutan",0.421,99,183.0,20.184,15.27777778,23.27543,31.37641,58.862,73.442
130,,,130,"Namibia",0.44,106,195.0,63.627,36.95652174,40.56738384,42.0042855,56.089,63.331
131,,,131,"India",0.488,123,133.0,13.177,13.48600509,27.6706,47.0304,20.524,76.081
132,,,132,"Honduras",0.423,100,65.0,72.912,21.09375,32.20528,29.59922,51.987,85.927
133,,,133,"Bangladesh",0.537,133,173.0,82.962,20.63037249,39.83654,47.52994,36.26,81.366
134,,,134,"Kiribati",,,92.0,16.177,6.52173913,,,,
135,,,135,"Sao Tome and Principe",0.537,133,130.0,94.61,14.54545455,31.51726344,45.82051427,41.421,74.37
136,,,136,"Micronesia (Federated States of)",,,88.0,13.924,0.0,,,,
137,,,137,"Lao People's Democratic Republic",0.459,113,185.0,65.41,27.51677852,35.14817308,46.24109253,76.744,80.213
138,,,138,"Eswatini (Kingdom of)",0.567,143,437.0,76.695,12.12121212,31.34,33.88,48.527,56.78
139,,,138,"Ghana",0.538,135,308.0,66.611,13.09090909,55.74,71.63471177,63.629,71.891
140,,,140,"Vanuatu",,,72.0,49.437,0.0,,,60.956,78.781
141,,,141,"Timor-Leste",,,142.0,33.785,38.46153846,,,61.882,72.721
142,,,142,"Nepal",0.452,110,186.0,65.121,33.53293413,29.27355191,44.16,82.8,85.104
143,,,143,"Kenya",0.518,126,342.0,75.078,23.26139089,29.84,37.314,72.128,77.345
144,,,144,"Cambodia",0.474,117,160.0,50.177,19.2513369,15.08,28.22107809,76.305,88.871
145,,,145,"Equatorial Guinea",,,301.0,155.622,19.18604651,,,54.775,67.073
146,,,146,"Zambia",0.539,137,213.0,120.112,17.96407186,38.48815291,54.06777528,70.37,79.076
147,,,147,"Myanmar",0.478,118,250.0,28.509,11.56773212,28.74,23.48,47.497,77.361
148,,,148,"Angola",0.536,132,241.0,150.526,30.0,23.13283672,38.05568485,76.136,78.913
149,,,149,"Congo",0.57,144,378.0,112.229,13.63636364,46.72,51.34,67.532,71.396
150,,,150,"Zimbabwe",0.527,129,458.0,86.135,34.57142857,59.79201,70.78307,78.106,88.993
151,,,151,"Solomon Islands",,,104.0,78.003,4.081632653,,,82.096,85.551
152,,,151,"Syrian Arab Republic",0.482,122,31.0,38.592,13.2,37.12,43.372,14.446,74.119
153,,,153,"Cameroon",0.56,141,529.0,105.8,29.28571429,32.66160371,41.34689093,71.108,81.1
154,,,154,"Pakistan",0.538,135,140.0,38.802,20.0,27.56918,45.65944,21.919,81.743
155,,,155,"Papua New Guinea",0.725,161,145.0,52.655,0.0,9.987125672,15.16,46.316,48.044
156,,,156,"Comoros",,,273.0,65.351,6.060606061,,,36.581,49.943
157,,,157,"Mauritania",0.634,151,766.0,71.049,20.26143791,12.74896857,25.03682561,28.85,63.055
158,,,158,"Benin",0.612,148,397.0,86.096,7.228915663,18.33432267,33.94317184,68.808,72.983
159,,,159,"Uganda",0.535,131,375.0,118.836,34.8583878,27.48236041,35.13158644,66.998,73.921
160,,,160,"Rwanda",0.402,92,248.0,39.114,55.66037736,10.94261001,15.76883,83.932,83.361
161,,,161,"Nigeria",,,917.0,107.33,4.112554113,,,47.872,57.875
162,,,162,"C�te d'Ivoire",0.638,153,617.0,117.627,13.27683616,17.94919663,34.35813313,48.157,65.54
163,,,163,"Tanzania (United Republic of)",0.556,140,524.0,118.385,36.8956743,12.01460577,16.93175295,79.565,87.338
164,,,164,"Madagascar",,,335.0,109.59,16.90140845,,,83.372,88.938
165,,,165,"Lesotho",0.553,139,544.0,92.726,23.02631579,33.0426436,25.49245512,60.159,75.939
166,,,166,"Djibouti",,,248.0,18.841,26.15384615,,,50.71,68.792
167,,,167,"Togo",0.573,145,396.0,89.091,16.48351648,27.62,54.39332055,76.277,78.936
168,,,168,"Senegal",0.533,130,315.0,72.725,41.81818182,10.2595,26.47567507,35.048,57.514
169,,,169,"Afghanistan",0.655,157,638.0,68.957,27.24358974,13.22,36.92,21.595,74.658
170,,,170,"Haiti",0.636,152,480.0,51.676,2.739726027,26.86,40.02036707,61.874,72.798
171,,,170,"Sudan",0.545,138,295.0,63.993,27.53623188,15.43678948,19.49766664,29.103,68.197
172,,,172,"Gambia",0.612,148,597.0,78.185,10.34482759,31.46365385,44.352595,51.179,67.989
173,,,173,"Ethiopia",0.517,125,401.0,66.727,37.28571429,11.47565483,22.57430843,73.441,85.755
174,,,174,"Malawi",0.565,142,349.0,132.671,22.91666667,17.58,26.05175781,72.593,81.102
175,,,175,"Congo (Democratic Republic of the)",0.617,150,473.0,124.22,11.98686371,36.73039,65.81281,60.722,66.261
176,,,175,"Guinea-Bissau",,,667.0,104.823,13.7254902,,,65.835,78.653
177,,,175,"Liberia",0.65,156,661.0,135.962,11.65048544,18.54536769,40.11511391,72.058,80.615
178,,,178,"Guinea",,,576.0,135.294,22.80701754,,,62.699,60.205
179,,,179,"Yemen",0.795,162,164.0,60.352,0.970873786,19.92,36.9182701,5.834,70.183
180,,,180,"Eritrea",,,480.0,52.553,22.0,,,71.459,85.474
181,,,181,"Mozambique",0.523,127,289.0,148.626,41.2,13.96321,19.90741,77.281,79.005
182,,,182,"Burkina Faso",0.594,147,320.0,104.329,13.38582677,6.079310168,12.28004515,58.308,74.826
183,,,182,"Sierra Leone",0.644,155,1120.0,112.828,12.32876712,20.12582593,33.01000419,57.309,58.489
184,,,184,"Mali",0.671,158,562.0,169.127,9.523809524,7.34422,16.381122,61.248,80.613
185,,,185,"Burundi",0.504,124,548.0,55.59,38.75,7.5,11.37319532,80.434,77.819
186,,,185,"South Sudan",,,1150.0,62.04,26.55889145,,,70.959,73.833
187,,,187,"Chad",0.71,160,1140.0,161.09,14.88095238,1.738381058,10.5268837,63.944,77.547
188,,,188,"Central African Republic",0.68,159,829.0,129.074,8.571428571,13.42,31.32,64.44,79.776
189,,,189,"Niger",0.642,154,509.0,186.538,16.95906433,4.66,8.99986914,60.586,83.671
190,,,,"Very high human development",0.173,,14.1714329852876,17.1957070377024,28.2773236444674,86.5108990824723,88.616024587104,52.3130469851861,69.1408701382342
191,,,,"High human development",0.34,,62.3214494342553,33.5854038031008,24.4603256460229,69.8341405920108,75.0661936059305,54.1733962953301,75.3811277566243
192,,,,"Medium human development",0.501,,161.484815999096,34.6149225533182,20.3523641595102,30.1372222453685,46.316406901507,28.34440678582,77.1145479661201
193,,,,"Low human development",0.592,,571.780446869361,102.804842426455,22.1602434075009,17.1849071908535,30.1194831173188,57.6952971371371,72.2805094101825
194,,,,"Developing countries",0.463,,224.338920630522,47.2090886898964,22.7100360989258,52.9621250258799,62.3095147656088,45.6136837050781,75.7202371945766
195,,,,"Arab States",0.518,,135.379796864537,46.7761916917451,17.9914616790522,49.3220715667034,55.7774480447695,20.6571440784179,73.0390541259826
196,,,,"East Asia and the Pacific",0.324,,73.0728131513614,22.1456205988812,20.1752353092842,69.3691716173029,76.5283445375275,59.2462136242083,76.50686019038
197,,,,"Europe and Central Asia",0.256,,19.8915360913858,27.7675391309087,23.1272489365816,79.8654821570141,88.0946538867639,45.014153194661,69.9611289510962
198,,,,"Latin America and the Caribbean",0.389,,72.7379465327289,63.2337796779266,31.4251639829024,60.3716963104239,59.7421559148915,52.0835880397058,76.8556226688112
199,,,,"South Asia",0.505,,148.551757691235,26.0328817149546,17.5232838903232,31.2649095273135,48.4225917032554,23.1827965047907,76.9729024865429
200,,,,"Sub-Saharan Africa",0.57,,535.248560910729,104.944842511277,24.0488155065005,28.7595338502185,39.8102032851427,63.340002067627,72.6723844468212
201,,,,"World",0.436,,203.839786419763,43.332285669109,24.6395471162866,61.00010685304,68.2880748293705,47.2006051936933,74.2424413644429
202,,,,,,,,,,,,,
203,,,,,,,,,,,,,
204,,,,,,,,,,,,,
205,,,,,,,,,,,,,
206,,,,,,,,,,,,,
207,,,,,,,,,,,,,
208,,,,,,,,,,,,,
209,,,,,,,,,,,,,
210,,,,,,,,,,,,,
